imageName longitude latitude altitude Omega Phi Kappa
frame2005.jpg 8.68138865 47.45012541 583.85463810 -8.71110997 2.23136993 -43.24883752
frame2019.jpg 8.68139624 47.45013064 583.86323641 -9.32568728 0.26434943 -42.55189701
frame2033.jpg 8.68140271 47.45013514 583.85409907 -9.34031095 -0.44803493 -43.29827120
frame2047.jpg 8.68140859 47.45013931 583.77354922 -8.89723397 1.14756552 -41.82452961
frame2061.jpg 8.68141414 47.45014354 583.72391655 -10.34076213 0.18201386 -43.09014661
frame2075.jpg 8.68142025 47.45014818 583.72109741 -11.38608075 0.25087933 -42.32143598
frame2089.jpg 8.68142528 47.45015304 583.59056809 -9.93993083 3.10605484 -43.76756149
frame2103.jpg 8.68142973 47.45015774 583.51506728 -9.51948736 4.08439079 -43.70624989
frame2117.jpg 8.68143489 47.45016236 583.55844154 -9.72803912 3.52512596 -42.51165999
frame2133.jpg 8.68144151 47.45016757 583.61188488 -9.97795913 3.90206789 -42.37516200
frame2147.jpg 8.68144785 47.45017239 583.57870583 -8.21222748 4.02495395 -42.70762648
frame2161.jpg 8.68145474 47.45017755 583.51073981 -7.13105781 2.23666573 -44.23079601
frame2175.jpg 8.68146220 47.45018208 583.47302991 -9.12170234 1.33776428 -41.94856855
frame2189.jpg 8.68146898 47.45018644 583.58521846 -10.00272602 3.09024209 -42.90286612
frame2203.jpg 8.68147597 47.45019107 583.68069820 -8.64172116 2.01688744 -42.37765125
frame2217.jpg 8.68148326 47.45019535 583.60581210 -9.88123777 1.53670338 -41.74051751
frame2231.jpg 8.68148982 47.45019962 583.46945110 -9.98360535 1.05771374 -42.94754908
frame2245.jpg 8.68149555 47.45020438 583.33161586 -8.31082760 2.25108561 -42.76654513
frame2261.jpg 8.68150186 47.45020984 583.18677990 -8.43526604 2.72248349 -42.39911145
frame2275.jpg 8.68150703 47.45021481 583.12078470 -7.14006276 2.77734321 -42.98092522
frame2289.jpg 8.68151307 47.45021948 583.20216392 -8.41117282 1.11083745 -41.57411079
frame2303.jpg 8.68151880 47.45022461 583.41550599 -4.67257184 2.10071935 -44.16912728
frame2317.jpg 8.68152515 47.45022826 583.54272716 -6.70495334 -0.75809619 -42.96700493
frame2331.jpg 8.68153086 47.45023130 583.59759924 -7.97448573 -0.50445410 -42.23003535
frame2345.jpg 8.68153530 47.45023447 583.58237416 -8.13836635 0.80235010 -40.80568120
frame2359.jpg 8.68153864 47.45023809 583.42952141 -5.58184827 2.36739264 -44.31359073
frame2373.jpg 8.68154263 47.45024132 583.40325663 -7.50936075 2.12824867 -43.05331658
frame2387.jpg 8.68154695 47.45024508 583.42718804 -7.15894208 3.60157561 -42.27917741
frame2401.jpg 8.68155139 47.45024813 583.35338508 -3.17250371 -2.78801872 -42.16502276
frame2415.jpg 8.68155220 47.45024856 582.94060919 -5.25670751 0.24036767 -41.63449370
frame2431.jpg 8.68155240 47.45024731 582.28100489 -7.01517990 -2.11821712 -41.52938447
frame2445.jpg 8.68154899 47.45024676 582.01253669 -6.33300271 2.14424657 -43.16312907
frame2459.jpg 8.68154506 47.45024620 581.97589009 -7.12716772 1.47437961 -40.80052744
frame2473.jpg 8.68154094 47.45024589 581.95064211 -8.02781179 1.87861686 -22.26401530
frame2487.jpg 8.68153632 47.45024628 581.94788697 -7.49515477 2.74853555 11.79377709
frame2501.jpg 8.68153223 47.45024766 581.90550287 -8.58859805 3.42150256 40.31874286
frame2515.jpg 8.68152856 47.45024928 581.65747938 -3.66971487 8.33643528 68.70961452
frame2529.jpg 8.68153064 47.45024927 581.43888971 -5.49959955 11.65511274 80.51447158
frame2543.jpg 8.68154072 47.45024892 581.37402957 -9.97985778 -7.75707538 101.27708224
frame2557.jpg 8.68154225 47.45025107 581.49395767 0.44825390 5.19468531 125.93596721
frame2571.jpg 8.68154444 47.45024925 581.71928096 -6.12436907 0.51461825 136.96330677
frame2585.jpg 8.68154546 47.45024692 581.85054008 -10.80716860 -3.02967875 146.13157772
frame2599.jpg 8.68154481 47.45024578 581.78038950 -3.66049528 5.39536121 157.97743807
frame2613.jpg 8.68154706 47.45024287 581.90472741 -10.38789322 -3.63295944 170.20277158
frame2627.jpg 8.68154429 47.45024174 581.75037899 -5.43104573 0.25958693 179.60903949
